Designator,Mid X,Mid Y,Rotation,Layer
C1,230.505511,-125.187601,180.0,top
C10,82.109111,-96.088201,90.0,top
C2,65.537511,-125.718601,270.0,top
C3,92.905714,-129.816601,270.0,top
C4,97.477714,-129.765801,270.0,top
C5,85.946114,-120.063001,180.0,top
C6,157.978911,-89.992201,180.0,top
C7,139.274711,-90.677801,270.0,top
C8,70.323511,-95.554801,180.0,top
C9,93.037461,-89.154001,0.0,top
D1,78.172111,-119.862601,180.0,top
D2,61.941314,-118.425501,90.0,top
D3,102.837114,-133.956801,90.0,top
D4,82.847314,-132.534401,270.0,top
D6,99.431911,-100.778701,90.0,top
J1,214.584711,-92.639401,90.0,top
J10,156.747515,-57.039401,0.0,top
J11,129.360711,-100.691601,0.0,top
J12,112.357711,-115.434001,270.0,top
J13,230.622911,-109.550201,90.0,top
J14,167.485911,-100.685601,0.0,top
J15,150.482911,-115.428001,270.0,top
J16,205.077911,-100.761801,0.0,top
J17,188.074911,-115.504201,270.0,top
J19,129.360711,-113.385601,180.0,top
J2,228.390711,-134.584801,180.0,top
J21,167.681711,-113.385601,180.0,top
J23,205.248311,-113.461801,180.0,top
J24,129.320711,-132.204801,180.0,top
J25,167.707111,-132.204801,180.0,top
J26,205.299111,-132.281001,180.0,top
J27,129.644311,-138.954401,180.0,top
J28,168.121511,-138.903601,180.0,top
J29,205.613,-138.8618,180.0,top
J3,104.199912,-57.039401,0.0,top
J4,214.544711,-54.889401,90.0,top
J5,62.043111,-61.010801,90.0,top
J6,61.931914,-104.653001,90.0,top
J7,62.051111,-77.216002,90.0,top
J8,62.101911,-90.953601,90.0,top
J9,74.307114,-61.031601,270.0,top
L1,77.792714,-126.260601,0.0,top
L2,89.830711,-102.971601,90.0,top
R1,89.264114,-65.319801,270.0,top
R10,116.721514,-65.345201,270.0,top
R11,111.819314,-65.294401,270.0,top
R12,115.177111,-81.372601,180.0,top
R13,126.703714,-65.319801,270.0,top
R14,123.935114,-65.319801,270.0,top
R15,128.943911,-80.890001,0.0,top
R16,70.551914,-55.490401,270.0,top
R17,68.799314,-58.500801,270.0,top
R18,139.251314,-65.243601,270.0,top
R19,134.145914,-65.269001,270.0,top
R2,86.724114,-65.294401,270.0,top
R20,135.649511,-80.991601,180.0,top
R21,70.221714,-65.726601,90.0,top
R22,151.748114,-65.319801,270.0,top
R23,149.182714,-65.294401,270.0,top
R24,150.940311,-80.813801,0.0,top
R25,159.266514,-65.294401,270.0,top
R26,154.313514,-65.319801,270.0,top
R27,157.722111,-80.864601,180.0,top
R28,171.788714,-65.319801,270.0,top
R29,61.941314,-114.691701,270.0,top
R3,88.456311,-80.991601,0.0,top
R30,169.223314,-65.281201,270.0,top
R31,170.980911,-81.321801,0.0,top
R32,102.837114,-130.096001,270.0,top
R33,179.332514,-65.269001,270.0,top
R34,80.789914,-132.509001,270.0,top
R35,174.303314,-65.294401,270.0,top
R36,177.686511,-81.347201,180.0,top
R37,153.432311,-91.807801,90.0,top
R38,69.002711,-98.856801,0.0,top
R39,75.696111,-98.780601,180.0,top
R4,96.706314,-65.319801,270.0,top
R40,72.330111,-98.780601,180.0,top
R5,91.727914,-65.319801,270.0,top
R6,95.187311,-80.966201,180.0,top
R7,109.253914,-65.319801,270.0,top
R8,106.713914,-65.370601,270.0,top
R9,108.446111,-81.321801,0.0,top
TP1,66.538714,-114.158301,0.0,top
TP2,102.811714,-126.260601,0.0,top
TP3,85.971514,-126.235201,0.0,top
TP4,104.791311,-98.602801,0.0,top
U1,90.534114,-73.3504,270.0,top
U10,76.597311,-87.249001,0.0,top
U2,110.523914,-73.422401,270.0,top
U3,131.047114,-73.422401,270.0,top
U4,76.393914,-107.770201,90.0,top
U5,95.190111,-123.037601,180.0,top
U6,153.043514,-73.4266,270.0,top
U7,173.058714,-73.452,270.0,top
U8,163.988911,-92.862201,90.0,top
U9,144.303911,-92.786001,90.0,top
